x,y1,y2
1,15284.858879999974,15284.858879999974
2,15558.527841279998,15388.73648128
3,15430.044564479998,15347.215022080001
4,15432.29144576,15342.864230399999
5,15435.026974720005,15345.338419200005
6,15437.705251839996,15347.741921280003
7,15439.864581120004,15350.662451200003
8,15443.131084799998,15353.148328959993
9,15445.945504323236,15355.408040959992
10,15447.60888888889,15357.80736258585
11,15450.392027428576,15360.139724282835
12,15453.156990680409,15362.560815020417
13,15457.474734297877,15364.563646020615
14,15461.103894260868,15367.437196387096
15,15465.305929955553,15369.793159032972
16,15471.317491952941,15371.934668224723
17,15475.343421686744,15375.998250666671
18,15478.51015492683,15380.018820740745
19,15485.074578285714,15381.558028800002
20,15488.58643797333,15386.891939840007
21,15494.661913239437,15389.258232888891
22,15500.014012235295,15391.295593411764
23,15502.502499343278,15394.274800246156
24,15505.478586181815,15396.441935999997
25,15508.162930215387,15398.063429079368
26,15514.343491147543,15399.039950451614
27,15520.678453894736,15401.717521655175
28,15525.680061629628,15404.037423407406
29,15528.81871698113,15405.991002352937
30,15532.815279686276,15407.795476479998
31,15537.093237333333,15410.118976000005
32,15540.469465872342,15412.162139022226
33,15544.356296347827,15415.19420509091
34,15547.116777739126,15417.816552186046
35,15549.439298782607,15419.558030883722
36,15551.994290086954,15420.3412956279
37,15556.135765333329,15421.827202976749
38,15558.925393454545,15422.96285866667
39,15561.915296744184,15424.251704195123
40,15565.653391609752,15426.577305599998
41,15567.814156800005,15425.770320842104
42,15569.454899200002,15427.48921081081
43,15573.4317271579,15428.11264691892
44,15576.161044756756,15430.810214399999
45,15579.015153777777,15432.451553882353
46,15581.054591999997,15433.105516606058
47,15583.71696355556,15433.156452848481
48,15585.696668444447,15435.158341818182
49,15588.71327623529,15436.536506181816
50,15591.223371294118,15437.408041290324
51,15599.055951999997,15437.274128516128
52,15601.320249806451,15440.894287448278
53,15603.645010580647,15443.19041828571
54,15605.353471999999,15445.01037714286
55,15606.096402285713,15447.267544615384
56,15609.475109925927,15448.904362666663
57,15610.185688615382,15449.78736973913
58,15612.450973538465,15451.348852363637
59,15619.057213439999,15452.531968000001
60,15620.768890879997,15453.117998545455
61,15627.200155826087,15452.782801454548
62,15626.952704000001,15457.963084799998
63,15629.108596363634,15458.434317473686
64,15631.194996363636,15460.594391578947
65,15633.410792727273,15461.224232421051
66,15635.642903272726,15461.422295578952
67,15635.228062476192,15463.135474526314
68,15637.977599999998,15462.439850666664
69,15642.988786526319,15456.653368888889
70,15644.44989978947,15460.774944000003
71,15646.077790315792,15462.205791999997
72,15644.039054222223,15463.593024
73,15658.466528000003,15464.300987733333
74,15661.479392000001,15474.241811692307
75,15659.1838208,15476.674599384616
76,15662.619374933332,15475.51714133333
77,15654.646272,15475.418069333327
78,15656.461092571428,15473.297082181818
79,15652.451012923078,15474.60217018182
